budget_id,budget_flops,schedule_regime,model_name,n_layer,n_head,n_embd,num_params,target_train_tokens,actual_train_tokens,actual_compute_proxy,fixed_schedule_horizon_steps,runs,mean_train_steps,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_final_test_loss,mean_runtime_sec,mean_tokens_per_second,actual_d_over_n,token_parameter_ratio
1,2000000000000.0,fixed,gpt_2l_40d,2,4,40,54880,6073858.1146744415,6074368,2000167895040.0,1440,3,2966.0,2.484098434448242,0.0014175870742712227,2.483417503039042,2.478028607368469,14.12978490193685,430277.9602466584,110.68454810495626,110.68454810495626
1,2000000000000.0,fixed,gpt_2l_44d,2,4,44,64592,5160597.8036495745,5160960,2000140369920.0,1656,3,2520.0,2.4656880100568137,0.0021586999573160047,2.4654982765515645,2.4610884308815,8.398035605748495,624563.426659076,79.90091652216992,79.90091652216992
1,2000000000000.0,fixed,gpt_2l_48d,2,4,48,75072,4440181.869849389,4442112,2000869392384.0,1440,3,2169.0,2.47066695690155,0.004978503843615326,2.4701065460840863,2.464815600713094,10.167214155197144,437389.5853991702,59.171355498721226,59.171355498721226
1,2000000000000.0,fixed,gpt_2l_52d,2,4,52,86320,3861600.247142416,3862528,2000480501760.0,1656,3,1886.0,2.4560465852419537,0.0021659642399983786,2.4560465852419537,2.4513364672660827,7.136910915374756,561066.4977700855,44.746617238183504,44.746617238183504
1,2000000000000.0,fixed,gpt_2l_56d,2,4,56,98336,3389738.5833604513,3391488,2001032183808.0,1440,3,1656.0,2.459206787745158,0.0021257142807728216,2.4585490385691324,2.454787747065226,8.487878719965616,399574.8893693427,34.48877318581191,34.48877318581191
1,2000000000000.0,fixed,gpt_2l_60d,2,4,60,111120,2999760.019198464,3000320,2000373350400.0,1656,3,1465.0,2.446806681156158,0.00224030303563516,2.446806681156158,2.4426975647608438,5.0672822793324785,603639.2833052425,27.000719942404608,27.000719942404608
1,2000000000000.0,fixed,gpt_2l_64d,2,4,64,124672,2673682.409308693,2674688,2000752214016.0,1440,3,1306.0,2.4493168791135154,0.0031639319111955613,2.448789942264557,2.4452160080273946,5.720576445261638,468515.7201494382,21.453798767967147,21.453798767967147
1,2000000000000.0,fixed,gpt_3l_48d,3,4,48,103344,3225473.499509728,3225600,2000078438400.0,1440,3,1575.0,2.4633674502372744,0.0032002902104425216,2.463234718640645,2.458493411540985,9.676791508992514,333577.5879506776,31.212261960055738,31.212261960055738
1,2000000000000.0,fixed,gpt_3l_56d,3,4,56,136696,2438501.004662414,2439168,2000547053568.0,1440,3,1191.0,2.458467157681783,0.0014016203212796976,2.458467157681783,2.4535091161727904,7.750770568847656,315248.94831303996,17.84374085562123,17.84374085562123
1,2000000000000.0,fixed,gpt_3l_64d,3,4,64,174656,1908513.4970074508,1908736,2000233168896.0,1440,3,932.0,2.4587268789609276,0.0014362786241272556,2.4577117204666137,2.454341487089793,5.421021779378255,352970.074011428,10.928545254672041,10.928545254672041
1,2000000000000.0,fixed,gpt_3l_72d,3,4,72,217224,1534514.2955351772,1536000,2001936384000.0,1440,3,750.0,2.457841646671295,0.003138290220706757,2.457841646671295,2.4525752743085225,5.2301154136657715,293696.80114287836,7.071041873826097,7.071041873826097
1,2000000000000.0,fixed,gpt_3l_80d,3,4,80,264400,1260716.0867372667,1261568,2001351475200.0,1440,3,616.0,2.464364631970723,0.004781248992883779,2.464364631970723,2.4588063756624856,3.6802056630452475,344392.50933309854,4.771437216338881,4.771437216338881
1,2000000000000.0,fixed,gpt_4l_80d,4,4,80,342240,973975.3779024467,974848,2001791877120.0,1440,3,476.0,2.481547045707703,0.00515405776495045,2.481370703379313,2.4760148843129475,3.472434918085734,324199.5538336937,2.8484338475923328,2.8484338475923328
1,2000000000000.0,fixed,gpt_4l_96d,4,4,96,484416,688113.7975073765,688128,2000041279488.0,1440,3,336.0,2.5001850167910256,0.006979544879556986,2.5001850167910256,2.4948642015457154,2.536640167236328,271766.9233854079,1.4205311137534682,1.4205311137534682
1,2000000000000.0,fixed,gpt_5l_96d,5,4,96,596256,559043.9900534893,559104,2000214687744.0,1440,3,273.0,2.5239269653956096,0.004540399500117911,2.5234785079956055,2.5183465560277303,2.4963859717051187,223996.1686631379,0.9376911930445982,0.9376911930445982
1,2000000000000.0,matched,gpt_2l_16d,2,4,16,12736,26172529.31323283,26173440,2000069591040.0,1656,3,12780.0,2.462462286154429,0.0010385076429959956,2.462330663204193,2.457149577140808,37.25170612335205,703174.1362282559,2055.075376884422,2055.075376884422
1,2000000000000.0,matched,gpt_2l_20d,2,4,20,17840,18684603.886397608,18685952,2000144302080.0,1656,3,9124.0,2.4539751688639324,0.002816128576468401,2.4538817485173543,2.4502219637235005,29.11078731218974,642180.2516507652,1047.4188340807175,1047.4188340807175
1,2000000000000.0,matched,gpt_2l_24d,2,4,24,23712,14057579.847053532,14059520,2000276029440.0,1440,3,6865.0,2.442010223865509,0.005709813900905692,2.4417369683583576,2.4390305638313294,31.756425619125366,442775.38648978225,592.9284750337382,592.9284750337382
1,2000000000000.0,matched,gpt_2l_28d,2,4,28,30352,10982252.679669654,10983424,2000213311488.0,1440,3,5363.0,2.443377689520518,0.0002793939757102414,2.443283236026764,2.439271040757497,23.953463713328045,458914.5238533987,361.868212967844,361.868212967844
1,2000000000000.0,matched,gpt_2l_32d,2,4,32,37760,8827683.615819208,8828928,2000281927680.0,1440,3,4311.0,2.4440465609232582,0.003587655219581039,2.443765417734782,2.4408884406089784,18.24265392621358,484003.0214637664,233.81694915254238,233.81694915254238
1,2000000000000.0,matched,gpt_2l_36d,2,4,36,45936,7256472.773714153,7258112,2000451796992.0,1440,3,3544.0,2.4442726373672485,0.0005862527574965571,2.444078532854716,2.439938231309255,16.206124305725098,448098.7286339774,158.00487634970395,158.00487634970395
1,2000000000000.0,matched,gpt_2l_40d,2,4,40,54880,6073858.1146744415,6074368,2000167895040.0,1440,3,2966.0,2.4482524196306863,0.004145507048141851,2.447726003328959,2.4442559281984964,13.82457947731018,440249.2275213702,110.68454810495626,110.68454810495626
1,2000000000000.0,matched,gpt_2l_44d,2,4,44,64592,5160597.8036495745,5160960,2000140369920.0,1656,3,2520.0,2.441910894711812,0.0015667089079109081,2.4418635686238606,2.4377747058868406,9.645679314931234,557568.6196177077,79.90091652216992,79.90091652216992
1,2000000000000.0,matched,gpt_2l_48d,2,4,48,75072,4440181.869849389,4442112,2000869392384.0,1440,3,2169.0,2.449586649735769,0.0052307891867730836,2.4493783871332804,2.4447645624478658,9.901373624801636,448785.40396972565,59.171355498721226,59.171355498721226
1,2000000000000.0,matched,gpt_2l_52d,2,4,52,86320,3861600.247142416,3862528,2000480501760.0,1656,3,1886.0,2.4482537587483724,0.0005636602052428234,2.4482537587483724,2.4442538897196453,6.75626786549886,577665.6173744318,44.746617238183504,44.746617238183504
1,2000000000000.0,matched,gpt_2l_56d,2,4,56,98336,3389738.5833604513,3391488,2001032183808.0,1440,3,1656.0,2.453007984161377,0.004019718311938919,2.452408703168233,2.4489865740140275,7.8372260729471845,432746.4898419672,34.48877318581191,34.48877318581191
1,2000000000000.0,matched,gpt_2l_60d,2,4,60,111120,2999760.019198464,3000320,2000373350400.0,1656,3,1465.0,2.4529624899228413,0.0024686267599715954,2.45284305413564,2.4488253871599834,6.534854412078857,462811.807736525,27.000719942404608,27.000719942404608
1,2000000000000.0,matched,gpt_2l_64d,2,4,64,124672,2673682.409308693,2674688,2000752214016.0,1440,3,1306.0,2.454575971762339,0.0033704534017180575,2.4541985432306928,2.450447376569112,6.093783378601074,439252.2066032826,21.453798767967147,21.453798767967147
1,2000000000000.0,matched,gpt_3l_48d,3,4,48,103344,3225473.499509728,3225600,2000078438400.0,1440,3,1575.0,2.4569732745488486,0.0035937280939027628,2.456759556134542,2.452770205338796,9.486676375071207,340570.610639506,31.212261960055738,31.212261960055738
1,2000000000000.0,matched,gpt_3l_56d,3,4,56,136696,2438501.004662414,2439168,2000547053568.0,1440,3,1191.0,2.4687650998433432,0.0014132915610154857,2.4687650998433432,2.463375878334045,7.568196932474772,322298.4290814603,17.84374085562123,17.84374085562123
