budget_id,budget_flops,model_name,n_layer,n_head,n_embd,dropout,bias,mlp_ratio,num_params,tokens_per_step,target_train_tokens,actual_train_tokens,target_d_over_n,actual_d_over_n,train_steps,unclipped_train_steps,actual_compute_proxy,schedule_regime,seed,fixed_schedule_horizon_steps,run_id
0,1200000000000.0,gpt_2l_48d,2,4,48,0.1,True,4.0,75072,2048,2664109.1219096333,2664448,35.48738706721059,35.491901108269396,1301,1301,1200152641536.0,matched,0,994,b0__gpt_2l_48d__matched__seed0
0,1200000000000.0,gpt_2l_48d,2,4,48,0.1,True,4.0,75072,2048,2664109.1219096333,2664448,35.48738706721059,35.491901108269396,1301,1301,1200152641536.0,matched,1,994,b0__gpt_2l_48d__matched__seed1
0,1200000000000.0,gpt_2l_48d,2,4,48,0.1,True,4.0,75072,2048,2664109.1219096333,2664448,35.48738706721059,35.491901108269396,1301,1301,1200152641536.0,matched,2,994,b0__gpt_2l_48d__matched__seed2
0,1200000000000.0,gpt_2l_52d,2,4,52,0.1,True,4.0,86320,2048,2316960.1482854495,2318336,26.84152164371466,26.857460611677478,1132,1132,1200712581120.0,fixed,0,994,b0__gpt_2l_52d__fixed__seed0
0,1200000000000.0,gpt_2l_52d,2,4,52,0.1,True,4.0,86320,2048,2316960.1482854495,2318336,26.84152164371466,26.857460611677478,1132,1132,1200712581120.0,fixed,1,994,b0__gpt_2l_52d__fixed__seed1
0,1200000000000.0,gpt_2l_52d,2,4,52,0.1,True,4.0,86320,2048,2316960.1482854495,2318336,26.84152164371466,26.857460611677478,1132,1132,1200712581120.0,fixed,2,994,b0__gpt_2l_52d__fixed__seed2
0,1200000000000.0,gpt_2l_52d,2,4,52,0.1,True,4.0,86320,2048,2316960.1482854495,2318336,26.84152164371466,26.857460611677478,1132,1132,1200712581120.0,matched,0,994,b0__gpt_2l_52d__matched__seed0
0,1200000000000.0,gpt_2l_52d,2,4,52,0.1,True,4.0,86320,2048,2316960.1482854495,2318336,26.84152164371466,26.857460611677478,1132,1132,1200712581120.0,matched,1,994,b0__gpt_2l_52d__matched__seed1
0,1200000000000.0,gpt_2l_52d,2,4,52,0.1,True,4.0,86320,2048,2316960.1482854495,2318336,26.84152164371466,26.857460611677478,1132,1132,1200712581120.0,matched,2,994,b0__gpt_2l_52d__matched__seed2
0,1200000000000.0,gpt_2l_56d,2,4,56,0.1,True,4.0,98336,2048,2033843.1500162708,2035712,20.682589794340533,20.701594533029613,994,994,1201102651392.0,fixed,0,994,b0__gpt_2l_56d__fixed__seed0
0,1200000000000.0,gpt_2l_56d,2,4,56,0.1,True,4.0,98336,2048,2033843.1500162708,2035712,20.682589794340533,20.701594533029613,994,994,1201102651392.0,fixed,1,994,b0__gpt_2l_56d__fixed__seed1
0,1200000000000.0,gpt_2l_56d,2,4,56,0.1,True,4.0,98336,2048,2033843.1500162708,2035712,20.682589794340533,20.701594533029613,994,994,1201102651392.0,fixed,2,994,b0__gpt_2l_56d__fixed__seed2
0,1200000000000.0,gpt_2l_56d,2,4,56,0.1,True,4.0,98336,2048,2033843.1500162708,2035712,20.682589794340533,20.701594533029613,994,994,1201102651392.0,matched,0,994,b0__gpt_2l_56d__matched__seed0
0,1200000000000.0,gpt_2l_56d,2,4,56,0.1,True,4.0,98336,2048,2033843.1500162708,2035712,20.682589794340533,20.701594533029613,994,994,1201102651392.0,matched,1,994,b0__gpt_2l_56d__matched__seed1
0,1200000000000.0,gpt_2l_56d,2,4,56,0.1,True,4.0,98336,2048,2033843.1500162708,2035712,20.682589794340533,20.701594533029613,994,994,1201102651392.0,matched,2,994,b0__gpt_2l_56d__matched__seed2
